listing_id,url,property_type,price_azn,area_m2,rooms,floor,total_floors,building_type,renovation,has_kupca,has_mortgage,city,district,settlement,metro_station,landmark,latitude,longitude,seller_type,description
6051280,https://bina.az/items/6051280,menziller/yeni-tikili,2000000.00,450.00,8,8,17,yeni tikili,temirli,t,f,Bakı,Səbail,,İçəri Şəhər,Axundov bağı,,,agent,"Sebail rayonu İçeri Şəhər metrosu .Yeni tikili 17 mertebeli binanin 8ci mertebesinde 8 otaqli menzil satilir. Menzili 8 otaq olma sebei 2 menzilin birleshmesidir.ənzilin ümumi sahəsi 425kv.m. 1Genish qonaq otaqi,yataq otaqlari,sanitar qovshaqlari,genish balkonlar ve genish metbex .
Denize mohteshem menzere ,şəhərin mərkəzində taqrovuya 2 deqiqlik mesafede.genishlik rahatliq . sekiller sertidi menzil temirlidir. Ətrafli melumat ucun elaqe saxlaya bilersiz.
OFİS XİDMET HAQQİ 1% TESHKİL EDİR ALİCİ TEREFDEN)))"
6247131,https://bina.az/items/6247131,menziller/kohne-tikili,178000.00,60.00,2,3,9,kohne tikili,temirli,t,f,Bakı,Nizami,8-ci kilometr,Qara Qarayev,Kristal Abşeron Qara Qarayev,,,agent,Tecli satlir Qarayev metroya yaxin Ruslan 93 marketin yani leylinqrand lahiyesi ipatekaya yararldir temiri yaxsi sekilde gorunduyu kimdir yaxinlginda mekdeb baxca var metroya 6/7 deqiqe mesafedir piyada evde gorduynuz eşyalarda qalacag abad heyetdi heyetde park var kimin bashqa suali varsa zeng edib etrafli maraqlana biler 
6325827,https://bina.az/items/6325827,menziller/kohne-tikili,150000.00,60.00,2,3,5,kohne tikili,temirli,t,f,Bakı,Xətai,Əhmədli,,,,,agent,"TƏCİLİ SATILIR.Baki şəhəri Xətai rayonu, Əhmədli qəsəbəsi, Gəncə prospekti, Xəzərin balaca kurqa yaxın yerdə yerləşən 5 mərtəbəli binanın 3 cü mərtəbəsi, leninqrad layihəli, orta blok, Astanovkaya, məktəb və uşaq bağçasına da çox yaxın yerdə yerləşir, mənzilin çıxarışı var ipotekaya yararlıdır."
6325826,https://bina.az/items/6325826,menziller/kohne-tikili,159000.00,60.00,2,1,5,kohne tikili,temirli,t,t,Bakı,Nizami,,Qara Qarayev,,,,agent,"Qarayev Metrosuna 2dq piyada məsafə 5 mərtəbə Socarin binalarinin 1-ci mərtəbəsində Qanuni 2 Otaq orta təmirli mənzil Satilir !
Yerdən 4 metr hundur, padval quru.
Kupça.
İpotekaya Yararlidir !
Orta Blok !
Qaz su işiq, mərkəzi istilik sistemi.
Əlavə məlumat uçun əlaqə saxlaya bilərsiniz.
Şirkətin xidmət haqqi Alici tərəfindən 1% təşkil edir."
6325830,https://bina.az/items/6325830,menziller/kohne-tikili,158000.00,33.00,2,5,5,kohne tikili,temirli,t,f,Bakı,Nərimanov,,Gənclik,Respublika stadionu,,,agent,"Gənclik metrosunun tam yaxınlığında yerləşən 5 mərtəbəli Xruşov layihəli binanın 5-ci mərtəbəsində, orta blokda yerləşən 1 otaqdan 2 otağa uğurla düzəldilmiş mənzil satılır. Mənzil əşyalı satılır. Artırması var, mətbəx studiya görnüşündədir. Rahat yaşayış üçün əlverişli planlaşdırmaya malikdir və həm yaşayış, həm də investisiya məqsədi üçün ideal seçimdir.
Yalnız real alıcılarla qiymət siyasəti danışılacaq."
6325833,https://bina.az/items/6325833,menziller/yeni-tikili,204000.00,73.00,3,16,18,yeni tikili,temirli,t,t,Bakı,Yasamal,Yeni Yasamal,İnşaatçılar,,,,agent,"YASAMAL MALL-DA — SUPER TƏMİRLİ, ÖNÜ AÇIQ, İPOTEKAYA YARARLI 3 OTAQLI MƏNZİL SATILIR!

Yasamal rayonunun ən prestijli və əlverişli ərazilərindən birində, İnşaatçılar metrosuna piyada 6–7 dəqiqəlik məsafədə, Yasamal Mall-un yerləşdiyi yeni tikili binada 3 otaqlı mənzil satışa çıxarılıb.

Mənzil haqqında:
• Sahəsi: 73 kv.m
• Otaq sayı: 3 otaq
• Mərtəbə: 18 mərtəbəli binanın 16-cı mərtəbəsi
• Sənəd: Çıxarış (Kupça)
• İpotekaya tam yararlıdır
• Bina daxilində orta mənzildir, künc deyil
• Önü tam açıqdır, qarşısını kəsən heç bir tikili yoxdur
• Gözəl panoram mənzərəsi var
• Mənzil super təmirlidir
• Təmir zamanı yüksək keyfiyyətli və bahalı materiallardan istifadə olunub
• Sahədən maksimum səmərəli və funksional istifadə edilərək 2 otaqdan 3 otağa ideal şəkildə düzəldilib
• Qaz, su və işıq daimidir

Bina və infrastruktur:
Binanın altında Yasamal Mall yerləşir. Ətraf ərazidə böyük supermarketlər, məktəblər, uşaq bağçaları, apteklər və müxtəlif iaşə obyektləri mövcuddur.

Binada:
• 24/7 mühafizə xidməti
• Geniş və təhlükəsiz həyət
• Yeraltı qaraj
• Sürətli və fasiləsiz işləyən liftlər

Real alıcı ilə mənzilə yerində baxış keçirildikdən sonra qiymətdə müəyyən endirim mümkündür."
6325834,https://bina.az/items/6325834,menziller/yeni-tikili,165000.00,66.00,2,15,16,yeni tikili,temirli,t,f,Bakı,Nizami,,Xalqlar Dostluğu,Laçın Ticarət Mərkəzi,,,agent,"Xalqlat Metrosunun Tam Çıxışında 2 otaqa düzəlmə MənzilinnSənədi Kupçadır  Tam Əşyalı Satılır Mənzilfə Kirayəçi Qalır
Ofis haqqı 1%"
6325836,https://bina.az/items/6325836,menziller/yeni-tikili,751500.00,167.00,4,6,7,yeni tikili,temirsiz,t,f,Bakı,Xətai,Ağ şəhər,,Ağ şəhər,,,agent,"Ag Sheherde Merkezi Bulvar kucesinde 7 mertebeli yasayis kompleksinin 6-ci mertebesinde umumi sahesi 167 kvm olan 4 otaqli temirsiz(podmayak) menzil satilir.Yelceken menzildir.Sened cixarisdir.Qiymet sondur!!!
Shirketin xidmet haqqi 1% teskil edir."
6325838,https://bina.az/items/6325838,menziller/yeni-tikili,115500.00,83.00,3,15,17,yeni tikili,temirli,t,f,Xırdalan,,,,,,,agent,"XIRDALAN TAM MƏRKƏZİNDƏ, GRANTMARTNAN ÜZ ÜZƏ İRŞADIN ÜSDÜ. YENİ TƏMİRLİ 3 OTAQLI MƏNZİL ÇIXARDIQ SATIŞA.. SƏNƏD MÜQAVİLƏ, KUPCANI ALAN ADAMIN ADINA ALMAQ MÜMKÜNDÜR.. BİNADA KUPCA VAR..ƏLAVƏ MƏLUMAT ÜÇÜN ƏLAQƏ SAXLAYA BİLƏRSİZ"
5489014,https://bina.az/items/5489014,menziller/yeni-tikili,380000.00,119.00,3,15,16,yeni tikili,temirli,t,t,Bakı,Nəsimi,,Gənclik,Zoopark,,,agent,"🏡 **Nəsimi bazarının arxasında – şəhər və göl mənzərəli möhtəşəm mənzil satılır!**

📍 **Ünvan:** Nəsimi bazarının arxası, yeni açılmış parkın yanı
🏢 **Mərtəbə:** 15/16
📐 **Otaqlar:** Qanuni 3 otaq
✨ **Təmiri:** Super təmirli, tam əşyalı və səliqəli
🛋 **Satış:** Əşyalarla birlikdə
📜 **Sənəd:** Kupçalı

🌆 **Üstünlüklər:**

* Şəhər mərkəzinə doğru açılan geniş panorama və birbaşa **göl mənzərəsi**
* Metroya, parka, məktəbə, aptekə yaxın əlverişli ünvan
* **Parking**, mühafizə və rahat infrastruktur
* Şəxsi komfortlu yaşayış və ya **icarəyə vermək üçün ideal seçim**

💰 **Qiymət:** Real alıcıya endirim olunacaq!"
6325847,https://bina.az/items/6325847,menziller/yeni-tikili,165000.00,66.00,2,7,16,yeni tikili,temirsiz,t,f,Bakı,Xətai,Əhmədli,Əhmədli,,,,agent," Mənzil Amal 2015 MTK-da yerləşir.Binanın altında təhsil,tibb mərkəzi,şirniyyat mağazası,Supermarket və s. iaşə obyektləri mövcuddur.Mənzil çox əlverişli yerdə yerləşir.Yaxında məktəb,baxça və Heydər Parkı var. Binada Qaz, Su, İşıq daimidir. İstilik sistemi kombidir. Mənzil 3 otaq studio tipli mənzil etmək mümkündür.Sənədi – Küpça. Ofis haqqı 1% təşkil edir"
6325853,https://bina.az/items/6325853,menziller/kohne-tikili,255000.00,110.00,4,8,9,kohne tikili,temirli,t,t,Bakı,Nizami,,Neftçilər,,,,agent,"🏡 NEFTÇİLƏR METROSU YAXINLIĞINDA KUPÇALI 4 OTAQLI MƏNZİL SATILIR!

📍 Nizami rayonu, Elşən Süleymanov küçəsi

✅ Eksperimental layihəli daş bina
🏢 9 mərtəbəli binanın 8-ci mərtəbəsi
📐 110 m²
🛏️ Qanuni 4 otaq
📄 Kupça (Çıxarış) var – İpotekaya yararlıdır

✨ Yelçəkən mənzil, keyfiyyətli təmir, geniş və işıqlı otaqlar
🌳 Bakıxanov meşəsinə və Sahib Əz-Zaman məscidinə gözəl panorama
🔥 Qaz, 💧 su və ⚡ işıq daimidir, lift işləkdir.

📍 Nazlı Şadlıq Sarayı, Podium Mall, Məlhəm Hospital, 8-ci Km bazarı, məktəb və bağçalara yaxın əlverişli ərazidə yerləşir.

🚗 Geniş həyət, şlaqbaum sistemi və rahat parkinq mövcuddur.

💰 Real alıcı ilə qiymətdə razılaşmaq mümkündür.

📞 Ətraflı məlumat üçün əlaqə saxlayın.
📌 Ofis haqqı: 1% (alıcı tərəfindən ödənilir)."
6364416,https://bina.az/items/6364416,menziller/yeni-tikili,390000.00,135.00,3,8,18,yeni tikili,temirsiz,t,t,Bakı,Yasamal,,Nizami,Beşmərtəbə,,,agent,"Nizami metrosunun yanında yeni inşa edilmiş ""Nizami Mall""ın binasında sahəsi 135kvm 3 otaqlı təmirsiz mənzil satılır. Bina yüksək səviyyədə inşa olunub, 24 saat mühafizə, kodlu bloklar, qapalı parking, sürətli liftlər və s. ilə təmin olunub, binada qaz, su, işıq daimidir. Sənəd kupçadır. Əlavə məlumat üçün əlaqə saxlaya bilərsiniz, firmanın xidmət haqqı 1% təşkil edir."
6364415,https://bina.az/items/6364415,menziller/yeni-tikili,235000.00,53.00,2,10,17,yeni tikili,temirli,t,t,Bakı,Nərimanov,,,Şərq bazarı,,,agent,"                      Dəyərli Müştərilərimiz
📍 Tefekkür Universiteti ,177 N orta mektebin yani
🏢 17/10Mərtəbə
📐 Ümumi sahə: 53 m²
🛏️ 2 otaqlı
🏗️ Təmiri: yaxsi
📃 Sənəd: Çıxarış
🔥 Qaz, su, işıq daimidir
💡 Rahat infrastruktur, sakit və elit ətraf mühit.
💼 Xidmət haqqı: Müştəridən 1%
📞 Ətraflı məlumat üçün əlaqə saxlaya bilərsiz"
5344096,https://bina.az/items/5344096,menziller/yeni-tikili,500000.00,188.00,3,5,20,yeni tikili,temirli,t,t,Bakı,Nəsimi,,8 Noyabr,Bakı Asiya Universiteti,,,agent,Azinko 20/5. SUPER TƏMİRLİ. VRV kondinsioner. İşıq qaz su daimi. Yeraltı dayanacaq. Qismən əşyalı. Yaxinliqinda bütün iaşə obyektləri var Yazmaqla olmur insan gözlərilə görsə daha yaxşıdır. Kupçası var İpatekiya Yararli Riyal müştəriyə mənzilə baxtiqdan sonra Yxşi endirim olacaq. Ofis Haqqi 1%
6364414,https://bina.az/items/6364414,menziller/kohne-tikili,200000.00,65.00,2,6,9,kohne tikili,temirli,t,f,Bakı,Binəqədi,6-cı mikrorayon,Nəsimi,Zərifə Əliyeva adına park,,,agent,"Menzilin movqeyi ideal yerdedi.
Menzilin yaninda butun iase obyektler var."
6364418,https://bina.az/items/6364418,menziller/yeni-tikili,460000.00,116.00,3,15,16,yeni tikili,temirli,t,f,Bakı,Nərimanov,,Nəriman Nərimanov,Nəriman Nərimanov parkı,,,agent,"🏡 **Nərimanovda Premium Mənzil Fürsəti!** ✨

📍 **Nərimanov metrosundan cəmi 1 dəqiqəlik piyada məsafədə**, **Nərimanov parkının** düz yanında yerləşən, ərazinin ən köklü və prestijli yaşayış komplekslərindən birində **tam yeni təmirli**, **qanuni 3 otaqlı**, **yelçəkən layihəli** və **yaşayış olmamış** mənzil satışdadır.

✅ Tam yeni və keyfiyyətli təmir
✅ Qanuni 3 otaq
✅ Yelçəkən (skvoznoy) layihə
✅ Yaşayış olmayıb
✅ Sürətli və müasir liftlər
✅ Yeraltı avtodayanacaq (Parking)
✅ İnkişaf etmiş və ideal infrastruktur

🏫 Kompleksin yaxınlığında məktəblər, uşaq bağçaları, supermarketlər, park və gündəlik ehtiyaclarınızı qarşılayacaq bütün iaşə obyektləri mövcuddur.

💼 Həm rahat yaşayış, həm də sərfəli investisiya üçün ideal seçimdir!

📞 Ətraflı məlumat və mənzilə baxış üçün bizimlə əlaqə saxlaya bilərsiniz.

📌 **Xidmət haqqı alıcı tərəfindən mənzilin satış dəyərinin 1%-ni təşkil edir.**"
6364422,https://bina.az/items/6364422,menziller/yeni-tikili,330000.00,115.00,3,3,7,yeni tikili,temirli,f,f,Bakı,Nizami,,Qara Qarayev,,,,agent,"📍 Qara Qarayev metrosuna 3–4 dəqiqəlik məsafədə!
Yeni təmir olunmuş, qanuni 3 otaqlı mənzil satışa çıxarılıb. Mənzil tam yelçəkəndir və geniş, rahat planlamaya malikdir. Mənzildə 2 sanitar qovşağı mövcuddur.
🔹 Yeni təmir
🔹 Qanuni 3 otaq
🔹 Tam yelçəkən
🔹 2 sanitar qovşaq
🔹 Metroya 3–4 dəqiqəlik məsafə
Əlavə məlumat və mənzilə baxış üçün əlaqə saxlaya bilərsiniz.
Şirkət haqqı: 1%"
6283524,https://bina.az/items/6283524,menziller/yeni-tikili,430000.00,137.00,4,9,16,yeni tikili,temirli,t,t,Bakı,Xətai,,Şah İsmayıl Xətai,,,,agent,"📍 Xətai metrosunun, Dəmirçi Plazanın yanında yerləşən İdeal mtk yaşayış kompleksində mənzil satılır.

🏢 9/16 mərtəbə
📐 Ümumi sahə: 137 m²
🛏️ 4 otaqlı (mənzil 3 otaqdan 4 otağa düzəlib)
🏗️ Təmiri: Əla
📃 Sənəd: Çıxarış
🔥 Qaz, su, işıq daimidir
💰 Qiymət: 430 000 AZN
💡 Rahat infrastruktur, sakit və elit ətraf mühit.
💼 Xidmət haqqı: Müştəridən 1%
📞 Ətraflı məlumat üçün əlaqə saxlaya bilərsiz"
