listing_id,url,deal_type,property_type,price_azn,area_m2,rooms,floor,total_floors,building_type,renovation,has_kupca,has_mortgage,city,district,metro_station,latitude,longitude,seller_type,description
6239392,https://bina.az/items/6239392,sale,heyet-evleri,425000.00,185.00,4,,,,temirli,t,f,Bakı,,,,,agent,"🏡 ПРЕМИАЛЬНАЯ ВИЛЛА В МАРДАКЯНЕ!

В одном из самых престижных и экологически чистых районов Мардакяна, всего в 10–15 минутах езды от станции метро «Кёроглу», предлагается к продаже роскошная полностью меблированная вилла.

📍 Площадь участка: 5 соток
🏠 Площадь дома: 185 м²
🛏 Количество комнат: 4
📄 Документы: Полный пакет документов, Купча

Вилла построена на высоком каменном цоколе, выполнен качественный ремонт с использованием дорогих материалов и премиальной фурнитуры.

✅ Тёплые полы во всех комнатах
✅ Крытый фильтрованный бассейн для круглогодичного использования
✅ Летняя кухня и беседка
✅ 2 санузла в доме + дополнительный санузел во дворе
✅ Кондиционеры, стиральная машина, холодильник, большой телевизор
✅ Полностью укомплектована современной мебелью
✅ Ортопедические матрасы
✅ 7 камер видеонаблюдения
✅ Высокоскоростной интернет
✅ Автоматические ворота с дистанционным управлением
✅ Резервный водяной бак

✨ Просторные и светлые комнаты, современный дизайн, высокий уровень комфорта и все условия для проживания круглый год.

🚗 Асфальтированная дорога обеспечивает удобный подъезд в любое время года.

💰 Цена: 425 000 AZN

Для получения дополнительной информации и организации просмотра свяжитесь с нами 



🏡 MƏRDƏKANDA PREMIUM VİLLA SATIŞDA!

Mərdəkanda, ekoloji cəhətdən təmiz və elit yaşayış məntəqəsində, ""Koroğlu"" metrosundan cəmi 10-15 dəqiqəlik məsafədə yerləşən möhtəşəm villa satışa təqdim olunur.

📍 Torpaq sahəsi: 5 sot
🏠 Tikili sahəsi: 185 m²
🛏 Otaq sayı: 4
📄 Sənəd: Tam Kupça (Paket Kupça)

Villa 4 daş kürsü üzərində inşa olunub, yüksək keyfiyyətli materiallarla təmir edilib və tam əşyalı şəkildə satılır.

✅ Bütün otaqlarda isti döşəmə sistemi
✅ Filtrli, yay-qış istifadə üçün nəzərdə tutulmuş hovuz
✅ Yay mətbəxi və besedka
✅ 2 sanitar qovşaq + həyətdə əlavə sanuzel
✅ Kondisionerlər, soyuducu, paltaryuyan, böyük ekran TV
✅ Bütün otaqlarda müasir mebellər
✅ Ortopedik döşəklər
✅ 7 ədəd müşahidə kamerası
✅ Yüksək sürətli internet
✅ Pultla idarə olunan giriş qapısı
✅ Ehtiyat su çəni

✨ Geniş və işıqlı otaqlar, zövqlü dizayn, yüksək keyfiyyətli aksesuarlar və rahat yaşayış üçün bütün şərait mövcuddur.

🚗 Villaya gedən yol tam asfaltdır və ilboyu rahat gediş-gəliş təmin edir.

💰 Qiymət: 425.000 AZN

Ətraflı məlumat və baxış üçün əlaqə saxlayın "
6325821,https://bina.az/items/6325821,sale,heyet-evleri,95000.00,50.00,3,,,,temirli,t,f,Xırdalan,,Xırdalan,,,agent,"TƏCİLİ HƏYƏT EYİ SATILIR.( Xaricə gedəcəyi üçün ucuz satır). - Ünvan-Xirdalan seherin,Nizami Gəngəvi kücəsi,Köhnə Bazarın və Ləzizin yanıyanıTexniki Humanitar Kollecle uzbe uz. Qaz Su İsiq daimidir. Hal Hazirda kirayededir Kirayeci qarisiq Satilir. 3 otaqli otaqlar ayri ayridir. Tam esyali Evde Kombi sisdemi var Elave Pitiminutka qoyulub Xaladelnik Paltar yuyan Kondisioner Wifi. Televizor Sekillerdeki gorduyunuz kimidir. Tam senedli evinde Cixarisi var Torpaginda. Isder 4 dene Telebe yerlesdirib 600 azn vermek olar kiraye Isdeseniz aileyede vermey olar kiraye 450-500 azn civarinda. Real musderiler elaqe saxlasinlar-40 m², Həyətin sahəsi-1.0 sotdur. Həyətın ,yəni Darvazanın qabağında maşın saxlamağa yeri var,. Kupçası var.-(paçet kupça). Qiymət: 95 000 AZN/ay                                                 .Xırdalan şəhərində ,bu qiymətə,kupçalı ev yoxdur. Əşyalı satılır.
Şərait / Təmir: Mənzil “təmirli”dir - yelçəkən mənzildir,Şəkillərdən əlavə,Vidiosu var.Su basan ərazi deyil.Gəlin baxın.
3 otaqlı-- təmirli, tam əşyalı (mənzildə -Geyran qaz peçi, kondisioner, paltaryuyan, soyuducu kimi məişət əşyaları daxil olduğu yazılıb). Mənzil səliqəli, baxımlıdır və hər bir otaq istifadə üçün hazırdır. Mənzil butun nov vacib avadanliqla təmin olunub . Binada qaz su və is var. Zəng edib maraqlana bilərsiz .Telefonla əlaqə qurub, mənzili canlı görmək (baxış) və Əlavə məlumat üçün əlaqə saxlayın. OFİS HAQQI Var.1%"
6325841,https://bina.az/items/6325841,sale,heyet-evleri,150000.00,169.00,4,,,,temirli,t,t,Bakı,,,,,agent,"Salam Hövsan qəsəbəsində Abidənin yaxinliginda əsas yolun tam kənarində 10 metr məsafədə super təmirli şəxsi tikili həyət evi satilir. 2.2 sotda yerləşir 4 otaq yuxarida 3 kömekçi otaqi aşagida yerləşir.Köməkçi otaqlarinnan 1 i temirli 2 i temizsizdi.Aşagi otagdada hamam sanuzel mövcuddur. Sənəd kupça (evində torpaginda).Bütün komunallar var və daimidir. Qaz,su,işıq,internet.Əşyalı satilir. Ətraflı zəng edin."
6242433,https://bina.az/items/6242433,sale,heyet-evleri,390000.00,360.00,9,,,,temirli,t,f,Bakı,,,,,agent,"Novxanıda Kalyon restoranından 500 metr aralıda 16 sot torpaq sahəsində 3 mərtəbəli bağ evi satılır.Ev olduqca genis işıqlı və havalı evdir,hər mərtəbəsi 120 kv.m olmaqla ümumi 360 kv.m dən ibarətdir.Evin hər mərtəbəsində sanuzeli var.3 cü mərtəbəsi geniş mansardır.Geniş yaşıllıqlı həyəti var və həyətində müxtəlif növ bar verən meyvə ağacları var,bundan əlavə həyətdə yay mətbəxi, manqalxanası və qarajı var.Evdə ilin 4 fəsli yaşamaq üçün hər bir şərait yaradılıb.Qaz su işıq daimidir,istilik sistemi kombidir.Həyətin hər bir tərəfi kameralar vasitəsi ilə müşahidə altındadır.Sənədləri tam qaydasındadır.Həm evin həm də torpağın çıxarışı var.Real alıcıya qiymətdə müəyyən razılıq olacaq."
6041219,https://bina.az/items/6041219,sale,heyet-evleri,225000.00,85.00,3,,,,temirli,t,f,Bakı,,,,,agent,Şüvəlanda çox ideal bir yerdə torpağın sotu 25000 olan bir ərazidə 10 sot torpaq sahəsində 3 otaqlı bağ evi satılır.Bağlı bağçalı yaşıllıqlı həyəti var.Bütün komunallar mövcuddur.Sənədlər hamısı tam qaydasındadır.Həm torpağın həm də evin çıxarışı var.Real alıcıya qiymətdə razılıq olacaq.
6325827,https://bina.az/items/6325827,sale,menziller/kohne-tikili,150000.00,60.00,2,3,5,,temirli,t,f,Bakı,,,,,agent,"TƏCİLİ SATILIR.Baki şəhəri Xətai rayonu, Əhmədli qəsəbəsi, Gəncə prospekti, Xəzərin balaca kurqa yaxın yerdə yerləşən 5 mərtəbəli binanın 3 cü mərtəbəsi, leninqrad layihəli, orta blok, Astanovkaya, məktəb və uşaq bağçasına da çox yaxın yerdə yerləşir, mənzilin çıxarışı var ipotekaya yararlıdır."
6325826,https://bina.az/items/6325826,sale,menziller/kohne-tikili,159000.00,60.00,2,1,5,,temirli,t,t,Bakı,,,,,agent,"Qarayev Metrosuna 2dq piyada məsafə 5 mərtəbə Socarin binalarinin 1-ci mərtəbəsində Qanuni 2 Otaq orta təmirli mənzil Satilir !
Yerdən 4 metr hundur, padval quru.
Kupça.
İpotekaya Yararlidir !
Orta Blok !
Qaz su işiq, mərkəzi istilik sistemi.
Əlavə məlumat uçun əlaqə saxlaya bilərsiniz.
Şirkətin xidmət haqqi Alici tərəfindən 1% təşkil edir."
6325830,https://bina.az/items/6325830,sale,menziller/kohne-tikili,158000.00,33.00,2,5,5,,temirli,t,f,Bakı,,,,,agent,"Gənclik metrosunun tam yaxınlığında yerləşən 5 mərtəbəli Xruşov layihəli binanın 5-ci mərtəbəsində, orta blokda yerləşən 1 otaqdan 2 otağa uğurla düzəldilmiş mənzil satılır. Mənzil əşyalı satılır. Artırması var, mətbəx studiya görnüşündədir. Rahat yaşayış üçün əlverişli planlaşdırmaya malikdir və həm yaşayış, həm də investisiya məqsədi üçün ideal seçimdir.
Yalnız real alıcılarla qiymət siyasəti danışılacaq."
6325853,https://bina.az/items/6325853,sale,menziller/kohne-tikili,255000.00,110.00,4,8,9,,temirli,t,t,Bakı,,,,,agent,"🏡 NEFTÇİLƏR METROSU YAXINLIĞINDA KUPÇALI 4 OTAQLI MƏNZİL SATILIR!

📍 Nizami rayonu, Elşən Süleymanov küçəsi

✅ Eksperimental layihəli daş bina
🏢 9 mərtəbəli binanın 8-ci mərtəbəsi
📐 110 m²
🛏️ Qanuni 4 otaq
📄 Kupça (Çıxarış) var – İpotekaya yararlıdır

✨ Yelçəkən mənzil, keyfiyyətli təmir, geniş və işıqlı otaqlar
🌳 Bakıxanov meşəsinə və Sahib Əz-Zaman məscidinə gözəl panorama
🔥 Qaz, 💧 su və ⚡ işıq daimidir, lift işləkdir.

📍 Nazlı Şadlıq Sarayı, Podium Mall, Məlhəm Hospital, 8-ci Km bazarı, məktəb və bağçalara yaxın əlverişli ərazidə yerləşir.

🚗 Geniş həyət, şlaqbaum sistemi və rahat parkinq mövcuddur.

💰 Real alıcı ilə qiymətdə razılaşmaq mümkündür.

📞 Ətraflı məlumat üçün əlaqə saxlayın.
📌 Ofis haqqı: 1% (alıcı tərəfindən ödənilir)."
6325833,https://bina.az/items/6325833,sale,menziller/yeni-tikili,204000.00,73.00,3,16,18,,temirli,t,t,Bakı,,,,,agent,"YASAMAL MALL-DA — SUPER TƏMİRLİ, ÖNÜ AÇIQ, İPOTEKAYA YARARLI 3 OTAQLI MƏNZİL SATILIR!

Yasamal rayonunun ən prestijli və əlverişli ərazilərindən birində, İnşaatçılar metrosuna piyada 6–7 dəqiqəlik məsafədə, Yasamal Mall-un yerləşdiyi yeni tikili binada 3 otaqlı mənzil satışa çıxarılıb.

Mənzil haqqında:
• Sahəsi: 73 kv.m
• Otaq sayı: 3 otaq
• Mərtəbə: 18 mərtəbəli binanın 16-cı mərtəbəsi
• Sənəd: Çıxarış (Kupça)
• İpotekaya tam yararlıdır
• Bina daxilində orta mənzildir, künc deyil
• Önü tam açıqdır, qarşısını kəsən heç bir tikili yoxdur
• Gözəl panoram mənzərəsi var
• Mənzil super təmirlidir
• Təmir zamanı yüksək keyfiyyətli və bahalı materiallardan istifadə olunub
• Sahədən maksimum səmərəli və funksional istifadə edilərək 2 otaqdan 3 otağa ideal şəkildə düzəldilib
• Qaz, su və işıq daimidir

Bina və infrastruktur:
Binanın altında Yasamal Mall yerləşir. Ətraf ərazidə böyük supermarketlər, məktəblər, uşaq bağçaları, apteklər və müxtəlif iaşə obyektləri mövcuddur.

Binada:
• 24/7 mühafizə xidməti
• Geniş və təhlükəsiz həyət
• Yeraltı qaraj
• Sürətli və fasiləsiz işləyən liftlər

Real alıcı ilə mənzilə yerində baxış keçirildikdən sonra qiymətdə müəyyən endirim mümkündür."
6325834,https://bina.az/items/6325834,sale,menziller/yeni-tikili,165000.00,66.00,2,15,16,,temirli,t,f,Bakı,,,,,agent,"Xalqlat Metrosunun Tam Çıxışında 2 otaqa düzəlmə MənzilinnSənədi Kupçadır  Tam Əşyalı Satılır Mənzilfə Kirayəçi Qalır
Ofis haqqı 1%"
6325836,https://bina.az/items/6325836,sale,menziller/yeni-tikili,751500.00,167.00,4,6,7,,temirsiz,t,f,Bakı,,,,,agent,"Ag Sheherde Merkezi Bulvar kucesinde 7 mertebeli yasayis kompleksinin 6-ci mertebesinde umumi sahesi 167 kvm olan 4 otaqli temirsiz(podmayak) menzil satilir.Yelceken menzildir.Sened cixarisdir.Qiymet sondur!!!
Shirketin xidmet haqqi 1% teskil edir."
6325838,https://bina.az/items/6325838,sale,menziller/yeni-tikili,115500.00,83.00,3,15,17,,temirli,t,f,Xırdalan,,Xırdalan,,,agent,"XIRDALAN TAM MƏRKƏZİNDƏ, GRANTMARTNAN ÜZ ÜZƏ İRŞADIN ÜSDÜ. YENİ TƏMİRLİ 3 OTAQLI MƏNZİL ÇIXARDIQ SATIŞA.. SƏNƏD MÜQAVİLƏ, KUPCANI ALAN ADAMIN ADINA ALMAQ MÜMKÜNDÜR.. BİNADA KUPCA VAR..ƏLAVƏ MƏLUMAT ÜÇÜN ƏLAQƏ SAXLAYA BİLƏRSİZ"
