iter	RMSE
0	0.5351701836
1	0.5275348493
2	0.5194893674
3	0.5108112427
4	0.5037250648
5	0.4972062279
6	0.4889776842
7	0.4828582979
8	0.4757483452
9	0.4691158356
10	0.4621355074
11	0.4558290512
12	0.4495372686
13	0.4437133813
14	0.4376632633
15	0.4319505613
16	0.4264785751
17	0.4211377463
18	0.4159689975
19	0.4113901624
20	0.4065813218
21	0.40203671
22	0.3964779981
23	0.3912939109
24	0.3859620595
25	0.3801839694
26	0.3761199762
27	0.3713235483
28	0.3667792305
29	0.3618700792
30	0.3573859356
31	0.353135972
32	0.348998711
33	0.3450745247
34	0.3419263919
35	0.3383016735
36	0.3344377686
37	0.3306870985
38	0.3279975019
39	0.3249064525
40	0.3227907273
41	0.3195095881
42	0.3170195068
43	0.3137811243
44	0.3107525385
45	0.3079585593
46	0.3049521794
47	0.3027212311
48	0.2998942073
49	0.2973436258
50	0.2952643872
51	0.2927714147
52	0.290507292
53	0.2884112532
54	0.286219451
55	0.284487824
56	0.2828418137
57	0.2813928553
58	0.2793094054
59	0.2776121697
60	0.2759746961
61	0.2743259978
62	0.2726807575
63	0.2711665501
64	0.2695608497
65	0.2680416365
66	0.266905077
67	0.265863528
68	0.2644439228
69	0.2629783768
70	0.2613578268
71	0.2605136761
72	0.2591970287
73	0.2579941273
74	0.2568001014
75	0.2553812369
76	0.2541884227
77	0.2528123088
78	0.2517031386
79	0.250352973
80	0.2492778127
81	0.2482915014
82	0.2470012023
83	0.245735391
84	0.2446214577
85	0.2437510081
86	0.24279177
87	0.2419619652
88	0.241071242
89	0.2402508339
90	0.239407413
91	0.2382029331
92	0.237451923
93	0.2369315564
94	0.2360820842
95	0.2352458995
96	0.2343023606
97	0.2335920177
98	0.2330950332
99	0.2323248201
100	0.2314324799
101	0.2308066826
102	0.2300846098
103	0.2293870011
104	0.2287084708
105	0.2280186367
106	0.2272830669
107	0.2266760352
108	0.2258244301
109	0.2251684868
110	0.2245198132
111	0.2239065766
112	0.2231856757
113	0.2225171844
114	0.2219144374
115	0.2213051888
116	0.2206688554
117	0.220080829
118	0.219862942
119	0.2193577646
120	0.2189050385
121	0.2183088214
122	0.2176706114
123	0.2171795491
124	0.2168840952
125	0.2163588883
126	0.2158699404
127	0.2153747419
128	0.2149365225
129	0.2144752857
130	0.2139313515
131	0.2134473551
132	0.2129760689
133	0.2125650872
134	0.2124111299
135	0.2121956069
136	0.2118054117
137	0.2113162091
138	0.2111325924
139	0.2108107214
140	0.2103074735
141	0.2100168674
142	0.2097736076
143	0.2093991736
144	0.2090128176
145	0.2085719371
146	0.2082847385
147	0.2080997759
148	0.2078545201
149	0.2076188477
150	0.2072131924
151	0.2068803549
152	0.2066485084
153	0.2063738799
154	0.206188915
155	0.2058855153
156	0.2055563968
157	0.2054247693
158	0.2050267266
159	0.2048488688
160	0.2046621361
161	0.204348755
162	0.2039870902
163	0.2037893174
164	0.2036062841
165	0.2033674395
166	0.2030286404
167	0.2029805968
168	0.2028466022
169	0.2025961183
170	0.2023396094
171	0.2021781431
172	0.2018780458
173	0.2017831965
174	0.2016957019
175	0.2013743435
176	0.2011618495
177	0.2009838712
178	0.2008001115
179	0.2004528464
180	0.2001312712
181	0.1999284789
182	0.1996481284
183	0.1992840106
184	0.1990583522
185	0.1990027116
186	0.1987019316
187	0.1984575865
188	0.19814457
189	0.197905865
190	0.1977076717
191	0.1975377908
192	0.1974283378
193	0.1972308294
194	0.197053043
195	0.1969381076
196	0.1967403057
197	0.1966140679
198	0.1964365229
199	0.1962401069
200	0.1961929601
201	0.1958306082
202	0.1957456113
203	0.1956739496
204	0.1954396149
205	0.1954087209
206	0.1952618021
207	0.195027682
208	0.1948637003
209	0.194787772
210	0.1945435975
211	0.1944407202
212	0.1943596083
213	0.1941096052
214	0.1939611143
215	0.193823831
216	0.1935165064
217	0.1932854936
218	0.1931723565
219	0.1931659399
220	0.192813273
221	0.1926792343
222	0.192438122
223	0.1922715543
224	0.1921669823
225	0.1919236585
226	0.1917888386
227	0.1916889875
228	0.1915439791
229	0.1913431843
230	0.191162621
231	0.1909404241
232	0.1908618333
233	0.1906997409
234	0.1904675033
235	0.1903131572
236	0.1902359578
237	0.1901069028
238	0.1899772883
239	0.1897606185
240	0.1895941698
241	0.1894508351
242	0.1893612024
243	0.1892070041
244	0.1888956386
245	0.1887118713
246	0.1885868206
247	0.1883180229
248	0.1881949393
249	0.1879289911
250	0.1875951176
251	0.1874962545
252	0.1873930594
253	0.1872606461
254	0.1872580378
255	0.186785239
256	0.1865326883
257	0.1864230665
258	0.1861851831
259	0.1860244843
260	0.1858218688
261	0.1856053861
262	0.1854760621
263	0.1851294949
264	0.1849817366
265	0.1848364773
266	0.1846622486
267	0.1844815043
268	0.184313945
269	0.1841929487
270	0.1840489235
271	0.1839181444
272	0.1838174882
273	0.1836552046
274	0.183493801
275	0.183247909
276	0.1827809223
277	0.1826691807
278	0.1824344959
279	0.182234954
280	0.182012346
281	0.1819756118
282	0.1817736729
283	0.1816799619
284	0.1815653712
285	0.1813588429
286	0.1811549866
287	0.1809650514
288	0.1808778895
289	0.1807206932
290	0.180642174
291	0.1805893883
292	0.1801917411
293	0.1800617467
294	0.1799199945
295	0.1798117135
296	0.1797046534
297	0.1795562668
298	0.1794953124
299	0.1791822626
300	0.1790168704
301	0.1789032277
302	0.1786276573
303	0.1783743075
304	0.1782352208
305	0.1781081906
306	0.1778342791
307	0.17762682
308	0.1774577732
309	0.1770960227
310	0.1768791267
311	0.1766858757
312	0.1764380926
313	0.1763264166
314	0.1761584921
315	0.1760503524
316	0.1758295144
317	0.1758002821
318	0.1756057026
319	0.1754907857
320	0.175289498
321	0.1750961286
322	0.1749435573
323	0.1746779154
324	0.1746501161
325	0.1745060468
326	0.1744335235
327	0.1743599054
328	0.1742977406
329	0.1740056861
330	0.1739143084
331	0.1736302839
332	0.1733030022
333	0.1731868719
334	0.1730008927
335	0.1728100172
336	0.1726670241
337	0.1724085102
338	0.1721793254
339	0.1721609823
340	0.1719601366
341	0.1717018695
342	0.1715228724
343	0.1714607796
344	0.1714093865
345	0.1712540524
346	0.1711283288
347	0.1709309715
348	0.1708374431
349	0.1706818667
350	0.1704905439
351	0.1704698498
352	0.1703958483
353	0.17010663
354	0.1700394271
355	0.1697926958
356	0.169664841
357	0.1693049107
358	0.1691555943
359	0.1690500978
360	0.1689338853
361	0.1688958974
362	0.1686316714
363	0.168449437
364	0.168292296
365	0.1682679668
366	0.1680666399
367	0.1679079186
368	0.1677453354
369	0.1677082879
370	0.1673795368
371	0.1673121444
372	0.1672791712
373	0.1670616172
374	0.1668183181
375	0.1665000394
376	0.1664375038
377	0.1663339491
378	0.1662071045
379	0.1660451979
380	0.1657340908
381	0.1655991485
382	0.1653389584
383	0.1651769571
384	0.1651418034
385	0.1649099847
386	0.1647764199
387	0.1646518787
388	0.1645768625
389	0.1644920553
390	0.1642571527
391	0.1641564965
392	0.1640654072
393	0.1640271931
394	0.1639569108
395	0.163843073
396	0.163540725
397	0.163189161
398	0.162970272
399	0.1628377913
400	0.1626391478
401	0.1625568309
402	0.1625309923
403	0.1623797053
404	0.1623016992
405	0.1622659381
406	0.1622409381
407	0.1620104072
408	0.1619894922
409	0.1619014301
410	0.1618117532
411	0.1615570831
412	0.1614277384
413	0.1612022876
414	0.16107261
415	0.1608054928
416	0.16056815
417	0.1605547812
418	0.1604598333
419	0.1604243218
420	0.1603528775
421	0.1602213434
422	0.159991697
423	0.1598482927
424	0.1596414232
425	0.1595840019
426	0.1594610429
427	0.1592563371
428	0.1590912137
429	0.1589654531
430	0.1588346927
431	0.1586590782
432	0.1585412308
433	0.1584750963
434	0.1583190892
435	0.158202857
436	0.1581778269
437	0.1580536638
438	0.1577373751
439	0.1576634376
440	0.1576435782
441	0.1576294288
442	0.1575258857
443	0.1574175268
444	0.1572654512
445	0.1571412587
446	0.1570354089
447	0.1569308352
448	0.1568200534
449	0.1567624401
450	0.1565039337
451	0.1562483037
452	0.1561986646
453	0.1561799895
454	0.1560649521
455	0.1560105277
456	0.1558894455
457	0.1558387974
458	0.1557087995
459	0.1556869179
460	0.1555456049
461	0.1553977005
462	0.1553919097
463	0.1551654434
464	0.1550957413
465	0.1549712745
466	0.1548332036
467	0.1548055539
468	0.1546175892
469	0.1545020222
470	0.1544706869
471	0.154317748
472	0.1542150953
473	0.1541020454
474	0.1539987865
475	0.1539080963
476	0.1536884456
477	0.1534740019
478	0.1533867701
479	0.1533582149
480	0.1531345272
481	0.1530400887
482	0.152790854
483	0.152594017
484	0.1525356851
485	0.152517035
486	0.1523716195
487	0.152218066
488	0.1521002705
489	0.151935525
490	0.1518530657
491	0.1517637342
492	0.151739391
493	0.1516440795
494	0.1514368438
495	0.1513650206
496	0.1511030422
497	0.1509009502
498	0.1508818092
499	0.150731978
500	0.1506253801
501	0.1503857344
502	0.1501854963
503	0.1500369288
504	0.1499609718
505	0.1499478081
506	0.1498281517
507	0.1497750588
508	0.1496264799
509	0.1496129333
510	0.1494680775
511	0.1494078315
512	0.1493932933
513	0.1491233313
514	0.1489607044
515	0.1488510192
516	0.1486700128
517	0.1484888379
518	0.1484377437
519	0.1483934767
520	0.148303488
521	0.1480831561
522	0.1480088311
523	0.1478467603
524	0.147703323
525	0.1476519511
526	0.1474882072
527	0.1474759236
528	0.1473583075
529	0.14727604
530	0.1470786481
531	0.1468894002
532	0.1468626571
533	0.1467083142
534	0.1465998648
535	0.1465946172
536	0.1464502861
537	0.1463295299
538	0.1461105429
539	0.1459495606
540	0.1457868075
541	0.1456830732
542	0.1455019644
543	0.1454468645
544	0.1454379942
545	0.1453647539
546	0.1451965871
547	0.1450627222
548	0.1449612184
549	0.144763055
550	0.1445302346
551	0.1444226719
552	0.144355444
553	0.1442672602
554	0.1442589169
555	0.1440609078
556	0.1440341555
557	0.1438457577
558	0.1436863276
559	0.1435223221
560	0.1434288405
561	0.1432996419
562	0.1432328266
563	0.1432249582
564	0.1429957255
565	0.1428929813
566	0.1428778897
567	0.1428630278
568	0.1427942479
569	0.1427807455
570	0.1427292617
571	0.1426767889
572	0.1426677774
573	0.1424729172
574	0.1423797322
575	0.1422691605
576	0.1421720407
577	0.1420671722
578	0.1418611625
579	0.141790289
580	0.1417304081
581	0.1415718288
582	0.1415623178
583	0.1414102034
584	0.1413154916
585	0.1411557595
586	0.1410944642
587	0.140981349
588	0.1408177037
589	0.1407981563
590	0.1406605392
591	0.1406528589
592	0.1406309619
593	0.1405464719
594	0.1405191469
595	0.1403777359
596	0.140238542
597	0.1400802865
598	0.1400677371
599	0.1399144831
600	0.1399078154
601	0.139854789
602	0.1397068527
603	0.1395346457
604	0.1394119729
605	0.1394007118
606	0.1393648124
607	0.1392883475
608	0.1392732621
609	0.1391470393
610	0.138996471
611	0.1388492644
612	0.1388380072
613	0.1387550444
614	0.1387195629
615	0.1386335993
616	0.1385547237
617	0.1385445977
618	0.138500215
619	0.1384411689
620	0.1384359639
621	0.1384299999
622	0.1382244702
623	0.1380670602
624	0.138056129
625	0.138041234
626	0.1379157777
627	0.1377310864
628	0.1375626904
629	0.1373909233
630	0.1373432285
631	0.1373306229
632	0.1371856774
633	0.1371688701
634	0.1370433009
635	0.1369161281
636	0.1368420118
637	0.1367535929
638	0.1365328641
639	0.1363953864
640	0.1363632733
641	0.1361975426
642	0.136015752
643	0.1357943705
644	0.1357358211
645	0.135444441
646	0.1353214049
647	0.1351529788
648	0.1349842371
649	0.1349618092
650	0.1348282013
651	0.1348139048
652	0.1347652662
653	0.1346686107
654	0.1346030961
655	0.1345177859
656	0.1344773774
657	0.1344228011
658	0.1342883833
659	0.1342648881
660	0.1342549072
661	0.134136582
662	0.134095858
663	0.1340764865
664	0.1338346198
665	0.1335708315
666	0.1334548802
667	0.1334504742
668	0.1333164877
669	0.1330678717
670	0.1329505049
671	0.1328974374
672	0.1327626368
673	0.1326978615
674	0.1326762803
675	0.1325347439
676	0.1324517929
677	0.1323612254
678	0.132215348
679	0.1321098151
680	0.1319888724
681	0.1318701513
682	0.1317484641
683	0.1315725474
684	0.1314766515
685	0.1313348799
686	0.13129992
687	0.1312874059
688	0.1312605782
689	0.1311057841
690	0.131039756
691	0.1309777233
692	0.1309332594
693	0.1308845849
694	0.1308432524
695	0.1307263785
696	0.1306286718
697	0.1306167369
698	0.1305178017
699	0.1304700845
700	0.1303577844
701	0.1301560433
702	0.1300322694
703	0.1298272551
704	0.1298012472
705	0.1296754823
706	0.1296537535
707	0.1296080856
708	0.1294553334
709	0.1293721596
710	0.1292479986
711	0.1292377895
712	0.1290879124
713	0.129076045
714	0.129043102
715	0.1289271214
716	0.1288465564
717	0.1287577295
718	0.1286549528
719	0.1285745369
720	0.1284722413
721	0.1283948102
722	0.1283268653
723	0.1282440713
724	0.1281385033
725	0.1281312986
726	0.1281020223
727	0.1280968738
728	0.1279531397
729	0.1279474395
730	0.127853093
731	0.1278399762
732	0.127786261
733	0.1277460081
734	0.1276306818
735	0.1275746574
736	0.1274606853
737	0.1272710611
738	0.1271856563
739	0.1271540789
740	0.1271196531
741	0.1270788615
742	0.1268198111
743	0.1266522062
744	0.1265666156
745	0.1264895534
746	0.1262426253
747	0.1261580377
748	0.1260012166
749	0.1257732214
750	0.1256489976
751	0.1255210539
752	0.1254785227
753	0.1253865659
754	0.1252851072
755	0.1252352505
756	0.12509211
757	0.1250129227
758	0.1250062151
759	0.1249128613
760	0.1249073834
761	0.124831286
762	0.1247234579
763	0.1245133763
764	0.1245030548
765	0.1244118496
766	0.1243615355
767	0.1242805404
768	0.1241986242
769	0.1240627935
770	0.1239167914
771	0.1238286848
772	0.1237847393
773	0.1236854474
774	0.1235631482
775	0.1234796193
776	0.1233862178
777	0.1233317404
778	0.1232552808
779	0.1230416959
780	0.1229523665
781	0.1229255221
782	0.1228381767
783	0.1227909196
784	0.1227313146
785	0.1226203331
786	0.1225045466
787	0.1224439126
788	0.122387581
789	0.1223225027
790	0.122266074
791	0.1221701477
792	0.1221007829
793	0.1219145942
794	0.1218858047
795	0.1218728411
796	0.1218304271
797	0.1216049638
798	0.1215129581
799	0.1213788195
800	0.1213520474
801	0.1211842731
802	0.1210817304
803	0.1210418333
804	0.1209068078
805	0.1208306727
806	0.1207041828
807	0.1206721576
808	0.1205278863
809	0.120392187
810	0.1202958352
811	0.1202551519
812	0.1201562276
813	0.1201498601
814	0.1200466494
815	0.1199582186
816	0.119842334
817	0.1197874406
818	0.1197591921
819	0.1197158893
820	0.1196240211
821	0.1195457799
822	0.1194720261
823	0.1194654647
824	0.1193941815
825	0.1192913845
826	0.1192776654
827	0.1192391906
828	0.1191793347
829	0.1190543158
830	0.1189473855
831	0.1189194063
832	0.1189129522
833	0.118791905
834	0.1187346102
835	0.1186380847
836	0.1185452052
837	0.1184653552
838	0.1183707544
839	0.1182971439
840	0.118240621
841	0.1182354449
842	0.1181442179
843	0.1180677046
844	0.1180133693
845	0.1179676208
846	0.1177730192
847	0.1177649432
848	0.1176621663
849	0.11753898
850	0.117450757
851	0.1174231148
852	0.1173623042
853	0.117314068
854	0.1172604978
855	0.1171337388
856	0.1171045647
857	0.1170141944
858	0.1169455089
859	0.1168795061
860	0.1167973821
861	0.1166939848
862	0.1165215744
863	0.1164633163
864	0.1164497481
865	0.1163961901
866	0.1163263082
867	0.1162814818
868	0.1162585921
869	0.1161701828
870	0.1160721341
871	0.1160399256
872	0.1159486278
873	0.115900143
874	0.1158137836
875	0.1157564717
876	0.1157009612
877	0.11567892
878	0.1156494204
879	0.1155346636
880	0.1154543419
881	0.1153832677
882	0.1153304762
883	0.1152573713
884	0.1151850733
885	0.1151479624
886	0.1150777079
887	0.1150194588
888	0.1148829596
889	0.1146814984
890	0.1146424891
891	0.1145725714
892	0.1145335988
893	0.114493303
894	0.114425359
895	0.1143747049
896	0.1142666136
897	0.1142097129
898	0.1141155509
899	0.1140627343
900	0.1139952189
901	0.1138330818
902	0.1137602217
903	0.1136792958
904	0.1135449566
905	0.1134515932
906	0.1134098987
907	0.1133195734
908	0.1132605705
909	0.113150278
910	0.1130658698
911	0.1129754841
912	0.112841873
913	0.112805169
914	0.1127709869
915	0.1127047674
916	0.1126551643
917	0.1125892499
918	0.1125022009
919	0.1124954047
920	0.1124739273
921	0.1124117398
922	0.1123142734
923	0.1122146664
924	0.1121246928
925	0.1120351848
926	0.1119298048
927	0.1117941633
928	0.1117545458
929	0.1117222469
930	0.1117187807
931	0.1116407534
932	0.1116153672
933	0.1115622694
934	0.1115265018
935	0.1115050007
936	0.1114276151
937	0.1114239573
938	0.1113661849
939	0.1113031754
940	0.1112129213
941	0.1111756927
942	0.1111289034
943	0.1110434584
944	0.1108914694
945	0.1108411457
946	0.1107757286
947	0.110686156
948	0.1106343095
949	0.1104755964
950	0.1103739014
951	0.11017864
952	0.1100499461
953	0.1099864938
954	0.1099330513
955	0.1098864155
956	0.1097869224
957	0.1097526617
958	0.1097022708
959	0.1096138167
960	0.1095094945
961	0.109468425
962	0.1094104463
963	0.1093739018
964	0.1093213815
965	0.1092489849
966	0.1091984942
967	0.1091234936
968	0.1090768429
969	0.1089664785
970	0.1088772937
971	0.1088559186
972	0.1087859242
973	0.108739668
974	0.1087373813
975	0.1086106435
976	0.1085476855
977	0.108468813
978	0.1083774317
979	0.1083610502
980	0.1083195789
981	0.1082602622
982	0.1081792201
983	0.1080725248
984	0.1080016754
985	0.1079619077
986	0.1079032399
987	0.107803764
988	0.1077421894
989	0.1076786002
990	0.1076733978
991	0.1075682382
992	0.1075222122
993	0.1074857048
994	0.107373333
995	0.1073300542
996	0.1072814508
997	0.1072416667
998	0.1071863086
999	0.1070919199
1000	0.1070730725
1001	0.1070096898
1002	0.1069703219
1003	0.1069339351
1004	0.1069126819
1005	0.1067972996
1006	0.1067672431
1007	0.1067238525
1008	0.1066588852
1009	0.1065663068
1010	0.1065390889
1011	0.1064901566
1012	0.1064229929
1013	0.1063313223
1014	0.106261994
1015	0.1062445637
1016	0.1061677929
1017	0.1061177269
1018	0.106101493
1019	0.1060498118
1020	0.1060070948
1021	0.1059025927
1022	0.1058816161
1023	0.1058628476
1024	0.105817927
1025	0.1057861531
1026	0.1057133369
1027	0.1056808209
1028	0.1056268015
1029	0.1056113176
1030	0.1055202696
1031	0.1055101109
1032	0.1054215406
1033	0.1052986424
1034	0.1052572945
1035	0.1052219812
1036	0.1051793962
1037	0.1050738892
1038	0.1050366696
1039	0.104993383
1040	0.1049750197
1041	0.1049330444
1042	0.1048355851
1043	0.1047611488
1044	0.1047466858
1045	0.1047351009
1046	0.1045793498
