iter	Passed	Remaining
0	54	108491
1	54	54927
2	55	37252
3	57	28913
4	60	24013
5	62	20836
6	65	18559
7	67	16783
8	69	15283
9	70	14051
10	72	13162
11	74	12300
12	75	11561
13	78	11113
14	80	10590
15	82	10183
16	84	9829
17	85	9441
18	87	9100
19	88	8796
20	90	8513
21	91	8234
22	94	8133
23	95	7897
24	97	7675
25	99	7574
26	100	7334
27	101	7116
28	102	6953
29	104	6858
30	106	6744
31	108	6647
32	109	6538
33	111	6421
34	111	6269
35	112	6162
36	114	6067
37	115	5979
38	116	5865
39	117	5748
40	117	5626
41	118	5541
42	119	5455
43	121	5416
44	123	5360
45	124	5301
46	126	5242
47	128	5221
48	129	5158
49	131	5114
50	131	5036
51	133	4984
52	134	4941
53	135	4898
54	137	4858
55	138	4814
56	139	4753
57	140	4692
58	141	4645
59	143	4626
60	143	4570
61	145	4546
62	147	4519
63	149	4512
64	150	4483
65	151	4450
66	153	4420
67	156	4433
68	156	4391
69	157	4344
70	158	4303
71	158	4254
72	159	4209
73	161	4206
74	163	4192
75	165	4177
76	166	4161
77	168	4155
78	170	4141
79	171	4122
80	173	4101
81	174	4084
82	176	4069
83	177	4053
84	179	4038
85	180	4016
86	181	3994
87	182	3972
88	184	3955
89	185	3932
90	186	3907
91	187	3891
92	189	3876
93	189	3846
94	191	3834
95	193	3835
96	194	3820
97	196	3808
98	197	3782
99	199	3794
100	201	3781
101	203	3778
102	204	3761
103	205	3747
104	207	3749
105	209	3738
106	211	3733
107	213	3734
108	214	3724
109	215	3708
110	216	3691
111	218	3676
112	219	3665
113	222	3679
114	224	3684
115	226	3673
116	227	3667
117	230	3679
118	231	3659
119	232	3647
120	233	3629
121	236	3634
122	237	3625
123	239	3621
124	240	3606
125	242	3599
126	244	3603
127	246	3602
128	248	3604
129	250	3598
130	252	3598
131	254	3596
132	257	3613
133	259	3608
134	259	3587
135	261	3588
136	264	3590
137	265	3585
138	266	3574
139	267	3558
140	269	3551
141	270	3543
142	272	3541
143	274	3542
144	277	3545
145	278	3538
146	280	3539
147	282	3538
148	284	3538
149	286	3530
150	288	3532
151	290	3533
152	291	3523
153	293	3521
154	296	3529
155	298	3533
156	301	3537
157	302	3524
158	303	3515
159	304	3506
160	306	3503
161	308	3499
162	310	3497
163	312	3496
164	314	3494
165	316	3502
166	319	3501
167	320	3492
168	320	3477
169	323	3485
170	325	3481
171	327	3478
172	329	3477
173	330	3463
174	330	3450
175	332	3442
176	333	3435
177	335	3437
178	337	3430
179	338	3424
180	340	3420
181	343	3429
182	345	3427
183	347	3429
184	349	3430
185	350	3419
186	351	3410
187	353	3404
188	354	3400
189	356	3398
190	358	3396
191	360	3398
192	362	3395
193	364	3390
194	365	3385
195	366	3374
196	368	3375
197	370	3369
198	371	3362
199	373	3361
200	374	3348
201	376	3355
202	377	3344
203	378	3329
204	379	3320
205	379	3308
206	381	3306
207	383	3302
208	385	3299
209	386	3291
210	388	3291
211	390	3292
212	392	3293
213	394	3292
214	396	3288
215	397	3284
216	399	3285
217	401	3280
218	402	3272
219	403	3266
220	405	3261
221	406	3256
222	409	3261
223	411	3264
224	413	3261
225	415	3263
226	417	3259
227	418	3252
228	419	3247
229	421	3246
230	424	3250
231	426	3248
232	428	3245
233	430	3247
234	431	3242
235	433	3237
236	434	3230
237	436	3233
238	439	3238
239	441	3240
240	443	3239
241	445	3234
242	446	3229
243	448	3230
244	450	3225
245	452	3223
246	453	3218
247	455	3218
248	456	3213
249	458	3209
250	460	3209
251	462	3210
252	465	3216
253	467	3213
254	468	3203
255	469	3199
256	471	3197
257	473	3194
258	474	3192
259	477	3193
260	478	3190
261	480	3186
262	481	3182
263	484	3183
264	485	3180
265	487	3176
266	488	3172
267	490	3169
268	492	3166
269	494	3165
270	495	3162
271	497	3159
272	499	3160
273	502	3164
274	504	3161
275	506	3161
276	507	3157
277	510	3159
278	511	3154
279	513	3151
280	514	3149
281	516	3143
282	517	3139
283	519	3138
284	521	3140
285	524	3140
286	525	3136
287	527	3137
288	529	3133
289	531	3134
290	533	3130
291	534	3125
292	537	3130
293	539	3129
294	541	3130
295	543	3127
296	545	3126
297	546	3123
298	548	3121
299	551	3122
300	553	3123
301	555	3120
302	556	3117
303	559	3122
304	562	3124
305	564	3122
306	566	3123
307	568	3125
308	570	3124
309	572	3120
310	574	3120
311	577	3122
312	579	3122
313	581	3121
314	582	3118
315	584	3114
316	585	3110
317	587	3105
318	588	3103
319	591	3106
320	593	3103
321	595	3103
322	597	3103
323	599	3103
324	601	3099
325	603	3099
326	605	3098
327	607	3096
328	609	3097
329	612	3098
330	614	3097
331	615	3093
332	617	3089
333	618	3085
334	620	3082
335	622	3082
336	624	3082
337	626	3078
338	627	3076
339	629	3071
340	630	3068
341	632	3065
342	633	3061
343	635	3060
344	637	3058
345	640	3060
346	641	3057
347	643	3054
348	644	3050
349	647	3052
350	648	3048
351	651	3048
352	652	3044
353	654	3041
354	656	3040
355	658	3039
356	659	3037
357	662	3037
358	663	3033
359	665	3029
360	666	3026
361	668	3026
362	670	3023
363	673	3026
364	676	3030
365	678	3030
366	680	3029
367	684	3033
368	686	3033
369	687	3030
370	690	3029
371	692	3029
372	693	3026
373	695	3023
374	697	3022
375	700	3024
376	702	3025
377	704	3023
378	706	3022
379	708	3018
380	709	3015
381	712	3016
382	713	3013
383	715	3009
384	716	3006
385	718	3003
386	720	3002
387	723	3004
388	724	3001
389	726	2999
390	729	3000
391	732	3003
392	734	3003
393	736	3000
394	738	3001
395	740	2999
396	742	2999
397	744	2997
398	746	2993
399	748	2993
400	749	2990
401	752	2992
402	755	2993
403	757	2992
404	759	2992
405	761	2991
406	764	2990
407	765	2987
408	768	2988
409	770	2987
410	773	2989
411	776	2993
412	778	2993
413	781	2992
414	782	2989
415	784	2986
416	785	2983
417	788	2982
418	789	2979
419	792	2981
420	795	2981
421	796	2978
422	798	2976
423	801	2980
424	803	2976
425	805	2975
426	806	2972
427	808	2971
428	811	2970
429	812	2967
430	814	2963
431	817	2965
432	818	2961
433	820	2960
434	822	2959
435	824	2958
436	826	2956
437	828	2955
438	831	2954
439	832	2952
440	834	2949
441	835	2946
442	837	2943
443	839	2941
444	841	2940
445	843	2938
446	845	2935
447	846	2933
448	848	2931
449	850	2930
450	852	2929
451	854	2925
452	856	2924
453	857	2921
454	859	2919
455	862	2920
456	864	2917
457	866	2918
458	868	2915
459	870	2914
460	872	2913
461	874	2910
462	876	2909
463	877	2905
464	879	2903
465	881	2900
466	882	2898
467	885	2897
468	886	2894
469	888	2891
470	891	2893
471	893	2892
472	894	2888
473	896	2885
474	898	2886
475	900	2884
476	902	2881
477	904	2880
478	906	2878
479	908	2878
480	911	2877
481	913	2876
482	916	2878
483	917	2875
484	919	2871
485	920	2868
486	922	2867
487	924	2865
488	927	2865
489	928	2862
490	930	2859
491	931	2856
492	933	2853
493	935	2851
494	937	2851
495	940	2852
496	942	2850
497	944	2849
498	947	2850
499	950	2850
500	951	2847
501	953	2844
502	954	2840
503	957	2840
504	959	2839
505	961	2838
506	963	2836
507	964	2833
508	966	2831
509	969	2832
510	971	2830
511	972	2827
512	974	2824
513	976	2822
514	978	2820
515	980	2820
516	983	2819
517	985	2818
518	987	2818
519	990	2818
520	992	2816
521	993	2813
522	995	2810
523	996	2807
524	998	2804
525	1000	2802
526	1001	2799
527	1003	2797
528	1005	2794
529	1007	2795
530	1009	2793
531	1012	2794
532	1014	2792
533	1016	2791
534	1018	2788
535	1019	2785
536	1021	2783
537	1023	2782
538	1026	2783
539	1028	2779
540	1029	2777
541	1032	2777
542	1034	2775
543	1035	2772
544	1037	2768
545	1038	2765
546	1040	2763
547	1041	2760
548	1043	2757
549	1045	2757
550	1047	2754
551	1048	2751
552	1050	2748
553	1051	2744
554	1053	2743
555	1055	2741
556	1056	2737
557	1058	2736
